2	무상찻집	5
2	문화식당	5
2	미즈컨테이너 강남 이스트	5
2	미친부엌	4
2	미화식당본점	5
2	밀라노기사식당	5
2	반기다	5
2	반지하	3.5
2	버던트	4
2	별미곱창	5
2	보슬보슬	5
2	본가서대문족발 본점	5
2	본디소	5
2	봉등당	5
2	부타이	4
2	북창동순두부 롯데월드점	4
2	브라이언스커피	4
2	비스트로주라	4
2	빌라빌라콜라	5
2	산호반점	5
2	서리풀식당	5
2	서울대입구역 룸술집 토모 이자카야	5
2	성산보말죽칼국수 성산점	5
2	세븐스플로어	5
2	셰프스위트	2
2	소반	4
2	속초751샌드위치	5
2	수변최고돼지국밥	5
2	숙성도 노형본점	5
2	숙성도 중문점	5
2	쉐이크쉑 서면점	5
2	스멜츠	3
2	스시&amp;	4
2	스시쿠루마	5
2	스튜디오 포비피엠	5
2	슬랩	5
2	시그니엘서울 더 라운지	5
2	쌍곰다방	4.5
2	썬라이즈135	5
2	씨맨스	1.5
2	씨이너볼	4.5
2	아실라	5
2	아줄레주	4
2	아크커피	4.5
2	안쵸비	5
2	애월제주다	5
2	앤드테라스	4
2	어 로프 슬라이스 피스	3
2	어니언 안국	4
2	어반스피릿	5
2	언더힐	5
2	얼터너티브	5
2	에그슬럿 코엑스점	5
2	엔토츠야	5
2	연월	4
2	예당소쿠리밥상	5
2	옐로우버터드림	5
2	오늘 그리고	5
2	오페뜨 건대점	5
2	올더모어	5
2	와비	5
2	우무	4
2	울트라마린	5
2	육갑식당 논현직영점	5
2	이익새양과점	5
2	이태리국시 본점	5
2	인스밀	3
2	자매국수	5
2	자매의 부엌	5
2	저스트텐동	5
2	저절로막창 종로점	5
2	정그리다	5
2	정돈 강남점	5
2	정돈 대학로본점	4.5
2	제스티살룬	5
2	제주맥주	4
2	제주크랩잭	5
2	좋은아침페스츄리	5
2	청킹맨션	4
2	친츠	5
2	칠돈가 본점	1
2	카라멜	5
2	카페 노티드 한남	4.5
2	카페 아를	3
2	카페 툇마루	0.5
2	카페레토리카	5
2	카페수석동198	3
2	카페오월	5
2	캔버스다락	5
2	커피박스	4.5
2	커피한약방	4.5
2	코러스커피	5
2	콜링우드	5
2	클랩피자	5
2	키쉬미뇽	5
2	키아이	5
2	키에리	4
